,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED
55,0,0,1,0
59,0,0,1,0
62,0,0,1,0
136,0,0,1,0
225,0,0,1,0
230,0,0,1,0
365,0,0,0,1
432,0,0,1,0
531,0,0,1,0
610,0,0,1,0
716,0,0,1,0
733,0,0,1,0
788,0,0,1,0
806,0,0,1,0
1200,0,0,1,0
1262,0,0,1,0
1321,0,0,1,0
1347,0,0,1,0
1354,0,0,1,0
1442,0,0,1,0
1445,0,0,1,0
1518,0,0,1,0
1576,0,0,0,1
1679,0,0,1,0
1778,0,0,1,0
1784,0,0,1,0
1786,0,0,1,0
1962,0,0,1,0
1965,0,0,1,0
2000,0,0,1,0
2006,0,0,1,0
2021,0,0,1,0
2080,0,0,1,0
2254,0,0,1,0
2306,0,0,1,0
2350,0,0,1,0
2408,0,0,1,0
2412,0,0,1,0
2415,0,0,1,0
2464,0,0,1,0
2470,0,0,1,0
2525,0,0,1,0
2549,0,0,1,0
2679,0,0,1,0
2710,0,0,1,0
2717,0,0,1,0
2742,0,0,1,0
2820,0,0,1,0
2851,0,0,1,0
2913,0,0,1,0
2963,0,0,1,0
3018,0,0,1,0
3116,0,0,1,0
3125,0,0,1,0
3150,0,0,1,0
3218,0,0,1,0
3229,0,0,1,0
3371,0,0,1,0
3568,0,0,1,0
3610,0,0,1,0
3637,0,0,1,0
3802,0,0,1,0
4113,0,0,1,0
4212,0,0,1,0
4308,0,0,1,0
4330,0,0,1,0
4337,0,0,1,0
4424,0,0,1,0
4440,0,0,1,0
4449,0,0,1,0
4498,0,0,1,0
4610,0,0,1,0
4670,0,0,1,0
4713,0,0,1,0
4897,0,0,1,0
4903,0,0,1,0
4983,0,0,1,0
5138,0,0,1,0
5139,0,0,1,0
5181,0,0,1,0
5238,0,0,1,0
5511,0,0,1,0
5636,0,0,1,0
5675,0,0,1,0
5811,0,0,1,0
5858,0,0,1,0
5916,0,0,1,0
6166,0,0,1,0
6314,0,0,1,0
6319,0,0,1,0
6471,0,0,1,0
6519,0,0,1,0
6533,0,0,1,0
6562,0,0,1,0
6629,0,0,1,0
6707,0,0,1,0
6732,0,0,1,0
6833,0,0,1,0
6838,0,0,1,0
6866,0,0,1,0
6885,0,0,1,0
7019,0,0,1,0
7101,0,0,1,0
7104,0,0,1,0
7193,0,0,1,0
7206,0,0,1,0
7220,0,0,1,0
7222,0,0,1,0
7445,0,0,1,0
7514,0,0,1,0
7539,0,0,1,0
7560,0,0,1,0
7566,0,0,1,0
7631,0,0,1,0
7898,0,0,1,0
7964,0,0,1,0
8012,0,0,1,0
8056,0,0,1,0
8120,0,0,1,0
8156,0,0,1,0
8364,0,0,1,0
8386,0,0,1,0
8428,0,0,1,0
8519,0,0,1,0
8658,0,0,1,0
8740,0,0,1,0
8772,0,0,1,0
8890,0,0,1,0
8906,0,0,1,0
8952,0,0,1,0
9048,0,0,1,0
9099,0,0,1,0
9114,0,0,1,0
9117,0,0,1,0
9161,0,0,1,0
9216,0,0,1,0
9231,0,0,1,0
9317,0,0,1,0
9483,0,0,1,0
9516,0,0,1,0
9669,0,0,1,0
9679,0,0,1,0
9950,0,0,1,0
9977,0,0,1,0
10049,0,0,1,0
10085,0,0,1,0
10159,0,0,1,0
10167,0,0,1,0
10230,0,0,1,0
10287,0,0,1,0
10576,0,0,1,0
10593,0,0,1,0
10605,0,0,1,0
10660,0,0,1,0
10763,0,0,1,0
10802,0,0,1,0
10907,0,0,1,0
10945,0,0,1,0
11067,0,0,1,0
11157,0,0,1,0
11221,0,0,1,0
11617,0,0,1,0
11726,0,0,1,0
11732,0,0,1,0
11912,0,0,1,0
12102,0,0,1,0
12134,0,0,1,0
12266,0,0,1,0
12271,0,0,1,0
12335,0,0,1,0
12533,0,0,1,0
12739,0,0,1,0
12762,0,0,1,0
12782,0,0,1,0
12804,0,0,1,0
12865,0,0,1,0
12902,0,0,1,0
12915,0,0,1,0
12981,0,0,1,0
13065,0,0,1,0
13169,0,0,1,0
13234,0,0,1,0
13294,0,0,1,0
13331,0,0,1,0
13339,0,0,1,0
13361,0,0,1,0
13479,0,0,2,0
13482,0,0,1,0
13488,0,0,1,0
13542,0,0,1,0
13678,0,0,1,0
13717,0,0,1,0
13859,0,0,1,0
13869,0,0,1,0
13897,0,0,0,1
13902,0,0,1,0
14018,0,0,1,0
14204,0,0,1,0
14279,0,0,1,0
14380,1,0,1,0
14421,0,0,1,0
14440,0,0,1,0
14445,0,0,1,0
14589,0,0,1,0
14649,0,0,1,0
14709,0,0,1,0
14866,0,0,1,0
15027,0,0,1,0
15104,0,0,1,0
15172,0,0,1,0
15206,0,0,1,0
15255,0,0,1,0
15554,0,0,1,0
15560,0,0,1,0
15575,0,0,1,0
15727,0,0,1,0
15765,0,0,1,0
15829,0,0,1,0
15902,0,0,1,0
16025,0,0,1,0
16057,0,0,1,0
16163,0,0,1,0
16434,0,0,1,0
16810,0,0,1,0
17052,0,0,1,0
17113,0,0,1,0
17123,0,0,1,0
17255,0,0,1,0
17798,0,0,1,0
17818,0,0,1,0
17858,0,0,1,0
17901,0,0,1,0
17910,0,0,1,0
17917,0,0,1,0
17930,0,0,1,0
18051,0,0,1,0
18185,0,0,1,0
18218,0,0,1,0
18382,0,0,1,0
18634,0,0,1,0
18735,0,0,1,0
18747,0,0,1,0
18748,0,0,1,0
18761,0,0,1,0
18823,0,0,1,0
18893,0,0,1,0
18929,0,0,1,0
18963,0,0,1,0
18975,0,0,1,0
18986,0,0,1,0
19011,0,0,0,1
19106,0,0,1,0
19179,0,0,1,0
19246,0,0,1,0
19375,0,0,1,0
19451,0,0,1,0
19477,0,0,1,0
19659,0,0,1,0
19758,0,0,1,0
19837,0,0,1,0
19845,0,0,1,0
20019,0,0,1,0
20035,0,0,1,0
20120,0,0,1,0
20153,0,0,1,0
20164,0,0,1,0
20287,0,0,1,0
20359,0,0,1,0
20390,0,0,1,0
20438,0,0,1,0
20451,0,0,1,0
20734,0,0,1,0
20747,0,0,1,0
20775,0,0,1,0
20840,0,0,1,0
20857,0,0,1,0
20951,0,0,1,0
20967,0,0,1,0
21006,0,0,1,0
21096,0,0,1,0
21105,0,0,1,0
21107,0,0,1,0
21170,0,0,1,0
21225,0,0,1,0
21249,0,0,1,0
21582,0,0,1,0
21608,0,0,1,0
21632,0,0,1,0
21765,0,0,1,0
21940,0,0,1,0
21974,0,0,1,0
22008,0,0,1,0
22050,0,0,1,0
22223,0,0,1,0
22228,0,0,1,0
22274,0,0,1,0
22291,0,0,1,0
22349,0,0,1,0
22576,0,0,1,0
22608,0,0,1,0
22688,0,0,1,0
22704,0,0,1,0
22929,0,0,1,0
23008,0,0,1,0
23125,0,0,1,0
23165,0,0,1,0
23200,0,0,1,0
23218,0,0,1,0
23267,0,0,1,0
23372,0,0,1,0
23657,0,0,1,0
23659,0,0,1,0
23827,0,0,1,0
24006,0,0,1,0
24104,0,0,1,0
24222,0,0,1,0
24231,0,0,1,0
24292,0,0,1,0
24387,0,0,1,0
24470,0,0,1,0
24481,0,0,1,0
24527,0,0,1,0
24549,0,0,1,0
24682,0,0,1,0
24719,0,0,1,0
24763,0,0,1,0
24807,0,0,1,0
24838,0,0,1,0
24863,0,0,1,0
24880,0,0,1,0
24943,0,0,1,0
24975,0,0,1,0
25083,0,0,1,0
25120,0,0,1,0
25144,0,0,1,0
25168,0,0,1,0
25227,0,0,1,0
25232,0,0,1,0
25258,0,0,1,0
25312,0,0,1,0
25410,0,0,1,0
25414,0,0,1,0
25469,0,0,1,0
25505,1,0,1,0
25671,0,0,1,0
25723,0,0,1,0
25889,0,0,1,0
25923,0,0,1,0
25938,0,0,1,0
25946,0,0,1,0
25962,0,0,1,0
26018,0,0,1,0
26030,0,0,1,0
26075,0,0,2,0
26151,0,0,1,0
26211,0,0,1,0
26312,0,0,1,0
26338,0,0,1,0
26431,0,0,1,0
26445,0,0,1,0
26489,0,0,1,0
26551,0,0,1,0
26576,0,0,1,0
26599,0,0,1,0
26624,0,0,1,0
26644,0,0,1,0
26658,0,0,1,0
26697,0,0,1,0
26699,0,0,1,0
26747,0,0,1,0
26760,0,0,1,0
26779,0,0,1,0
26895,0,0,1,0
26900,0,0,1,0
26921,0,0,1,0
27008,0,0,1,0
27021,0,0,1,0
27181,0,0,1,0
27195,0,0,1,0
27229,0,0,1,0
27455,0,0,1,0
27642,0,0,1,0
27680,0,0,1,0
27694,0,0,1,0
27789,0,0,1,0
27815,0,0,1,0
28207,0,0,1,0
28249,0,0,1,0
28445,0,0,1,0
28451,0,0,1,0
28490,0,0,1,0
28615,0,0,1,0
28635,0,0,1,0
29026,0,0,1,0
29096,0,0,1,0
29106,0,0,1,0
29148,0,0,1,0
29377,0,0,1,0
29400,0,0,1,0
29501,0,0,1,0
29585,0,0,1,0
29668,0,0,1,0
29690,0,0,1,0
29789,0,0,1,0
29811,0,0,1,0
29846,0,0,1,0
29856,0,0,1,0
29903,0,0,1,0
29954,0,0,1,0
30065,0,0,1,0
30087,0,0,1,0
30235,0,0,1,0
30617,0,0,1,0
30675,0,0,1,0
30764,0,0,1,0
30940,0,0,1,0
30973,0,0,1,0
31189,0,0,1,0
31248,0,0,1,0
31352,0,0,1,0
31450,0,0,1,0
31453,0,0,1,0
31456,0,0,1,0
31464,0,0,1,0
31488,0,0,1,0
31523,0,0,1,0
31536,0,0,1,0
31616,0,0,1,0
31625,0,0,1,0
31707,0,0,1,0
31764,0,0,1,0
31805,0,0,1,0
31882,0,0,1,0
31958,0,0,1,0
31977,0,0,1,0
32261,0,0,1,0
32526,0,0,1,0
32551,0,0,1,0
32643,0,0,1,0
32658,0,0,0,1
32968,0,0,1,0
33046,0,0,1,0
33051,0,0,1,0
33243,0,0,1,0
33350,0,0,1,0
33590,0,0,1,0
33606,0,0,1,0
33619,0,0,1,0
33716,0,0,1,0
33797,0,0,1,0
34113,0,0,1,0
34148,0,0,1,0
34365,0,0,1,0
34694,2,0,1,0
34841,0,0,1,0
34935,0,0,1,0
35000,0,0,1,0
35022,0,0,1,0
35139,0,0,1,0
35412,0,0,1,0
35556,0,0,1,0
35659,0,0,1,0
35724,0,0,1,0
35772,0,0,1,0
35925,0,0,1,0
35955,0,0,1,0
35967,0,0,1,0
36079,0,0,1,0
36233,0,0,1,0
36243,0,0,1,0
36309,0,0,1,0
36377,0,0,1,0
36523,0,0,1,0
36560,0,0,1,0
36629,0,0,1,0
36778,0,0,1,0
36937,1,0,1,0
37083,0,0,1,0
37190,0,0,1,0
37485,0,0,1,0
37500,0,0,1,0
37600,0,0,1,0
37717,0,0,1,0
37765,0,0,1,0
37807,0,0,1,0
37810,0,0,1,0
37843,0,0,1,0
37897,0,0,1,0
37946,0,0,1,0
37968,0,0,1,0
37971,0,0,1,0
38100,0,0,1,0
38109,0,0,1,0
38184,0,0,1,0
38545,0,0,1,0
38569,0,0,1,0
38582,0,0,1,0
38890,0,0,1,0
38933,0,0,1,0
38979,0,0,1,0
39048,0,0,1,0
39125,0,0,1,0
39276,0,0,1,0
39327,0,0,1,0
39355,0,0,1,0
39360,0,0,1,0
39374,0,0,1,0
39641,0,0,1,0
39786,0,0,1,0
39888,0,0,1,0
39928,0,0,1,0
39933,0,0,1,0
39961,0,0,1,0
40146,0,0,1,0
40165,0,0,1,0
40169,0,0,1,0
40377,0,0,1,0
40474,0,0,1,0
40512,0,0,1,0
40635,0,0,1,0
40656,0,0,1,0
40679,0,0,1,0
40750,0,0,1,0
40811,0,0,1,0
40828,0,0,1,0
40893,0,0,1,0
40992,0,0,1,0
41152,0,0,0,1
41223,0,0,1,0
41234,0,0,1,0
41277,0,0,1,0
41334,0,0,1,0
41338,0,0,1,0
41398,0,0,1,0
41408,0,0,1,0
41437,0,0,1,0
41514,0,0,1,0
41620,0,0,1,0
41684,0,0,1,0
41712,0,0,1,0
41742,0,0,1,0
41769,0,0,1,0
41860,0,0,1,0
41892,0,0,1,0
41918,0,0,1,0
41956,0,0,1,0
42015,0,0,1,0
42035,0,0,1,0
42038,0,0,1,0
42064,0,0,1,0
42073,0,0,1,0
42161,0,0,1,0
42198,0,0,1,0
42288,0,0,1,0
42323,0,0,1,0
42373,0,0,1,0
42377,0,0,1,0
42506,0,0,1,0
42558,0,0,1,0
42654,0,0,1,0
42736,0,0,1,0
42778,0,0,1,0
42789,0,0,1,0
42804,0,0,1,0
42810,0,0,1,0
42887,0,0,1,0
42946,0,0,1,0
43031,0,0,1,0
43111,0,0,1,0
43147,0,0,1,0
43177,0,0,1,0
43182,0,0,1,0
43298,0,0,1,0
43324,0,0,1,0
43376,0,0,1,0
43399,0,0,1,0
43500,0,0,1,0
43503,0,0,1,0
43512,0,0,1,0
43607,0,0,1,0
43685,0,0,1,0
43715,0,0,1,0
43721,0,0,1,0
43782,0,0,1,0
43796,0,0,1,0
43806,0,0,1,0
43811,0,0,1,0
43879,0,0,1,0
44092,0,0,1,0
44110,0,0,1,0
44116,0,0,1,0
44160,0,0,1,0
44227,0,0,1,0
44306,0,0,1,0
44367,0,0,1,0
44368,0,0,1,0
44432,0,0,1,0
44453,0,0,1,0
44479,0,0,1,0
44546,0,0,1,0
44645,0,0,1,0
44699,0,0,1,0
44744,0,0,1,0
44851,0,0,1,0
44900,0,0,1,0
44924,0,0,1,0
44956,0,0,1,0
44962,0,0,1,0
44978,0,0,1,0
45124,0,0,1,0
45337,0,0,1,0
45388,0,0,1,0
45391,0,0,1,0
45408,0,0,1,0
45677,0,0,1,0
45989,0,0,1,0
45998,0,0,1,0
46010,0,0,1,0
46328,0,0,1,0
46492,0,0,1,0
46540,0,0,1,0
46588,0,0,1,0
46675,0,0,1,0
46769,0,0,1,0
46827,0,0,1,0
46921,0,0,1,0
47008,0,0,1,0
47072,0,0,1,0
47177,0,0,1,0
47250,0,0,1,0
47283,0,0,1,0
47327,0,0,1,0
47354,0,0,1,0
47443,0,0,1,0
47484,0,0,1,0
47518,0,0,1,0
47606,0,0,1,0
47618,0,0,1,0
47687,0,0,1,0
47713,0,0,1,0
47736,0,0,1,0
47774,0,0,1,0
47973,0,0,1,0
48059,0,0,1,0
48334,0,0,1,0
48364,0,0,1,0
48381,0,0,1,0
48397,0,0,1,0
48407,0,0,1,0
48477,0,0,1,0
48522,0,0,1,0
48565,0,0,1,0
48652,0,0,1,0
48727,0,0,1,0
48750,0,0,1,0
48752,0,0,1,0
48772,0,0,1,0
48774,0,0,1,0
49026,0,0,1,0
49089,0,0,1,0
49103,0,0,1,0
49124,0,0,1,0
49179,0,0,1,0
49224,0,0,1,0
49242,0,0,1,0
49253,0,0,1,0
49263,0,0,1,0
49322,0,0,1,0
49331,0,0,1,0
49336,0,0,1,0
49339,0,0,1,0
49380,0,0,1,0
49390,0,0,1,0
49504,0,0,1,0
49533,0,0,1,0
49564,0,0,1,0
49575,0,0,1,0
49633,0,0,1,0
49634,0,0,1,0
49645,0,0,1,0
49649,0,0,1,0
49755,0,0,1,0
49771,0,0,1,0
49781,0,0,1,0
49793,0,0,1,0
49848,0,0,1,0
49945,0,0,1,0
49952,0,0,1,0
50010,0,0,1,0
50059,0,0,1,0
50189,0,0,1,0
50256,0,0,1,0
50337,0,0,1,0
50430,0,0,1,0
50491,0,0,1,0
50520,0,0,1,0
50567,0,0,1,0
50574,0,0,1,0
50616,0,0,1,0
50673,0,0,1,0
50706,0,0,1,0
50761,0,0,1,0
50798,0,0,1,0
50853,0,0,1,0
50876,0,0,1,0
50929,0,0,1,0
51109,0,0,1,0
51125,0,0,1,0
51250,0,0,1,0
51465,0,0,1,0
51584,0,0,1,0
51589,0,0,1,0
51643,0,0,1,0
51740,0,0,1,0
51766,0,0,1,0
51772,0,0,1,0
51826,0,0,1,0
51848,0,0,1,0
51932,0,0,1,0
51999,0,0,1,0
52031,0,0,1,0
52042,0,0,1,0
52044,0,0,1,0
52143,0,0,1,0
52165,0,0,1,0
52315,0,0,1,0
52378,0,0,1,0
52382,0,0,1,0
52457,0,0,1,0
52479,0,0,1,0
52514,0,0,1,0
52559,0,0,1,0
52601,0,0,1,0
52669,0,0,1,0
52724,0,0,1,0
52940,0,0,1,0
52943,0,0,1,0
53086,0,0,0,1
53093,0,0,1,0
53231,0,0,1,0
53380,0,0,1,0
53391,0,0,1,0
53453,0,0,1,0
53461,0,0,1,0
53468,0,0,1,0
53489,0,0,1,0
53526,0,0,1,0
53532,0,0,1,0
53553,0,0,1,0
53706,0,0,1,0
53750,0,0,1,0
53765,0,0,1,0
53891,0,0,1,0
53897,0,0,1,0
53933,0,0,1,0
53934,0,0,1,0
53954,0,0,1,0
54017,0,0,1,0
54108,0,0,1,0
54194,0,0,1,0
54220,0,0,1,0
54256,0,0,1,0
54273,0,0,1,0
54276,0,0,1,0
54293,0,0,1,0
54339,0,0,1,0
54369,0,0,1,0
54370,0,0,1,0
54383,0,0,1,0
54395,0,0,1,0
54405,0,0,1,0
54487,0,0,1,0
54514,0,0,1,0
54529,0,0,1,0
54599,0,0,1,0
54695,0,0,1,0
54704,0,0,1,0
54717,0,0,1,0
54739,0,0,1,0
54820,0,0,1,0
54870,0,0,1,0
54882,0,0,1,0
54927,0,0,1,0
54940,0,0,1,0
54974,0,0,1,0
55016,0,0,1,0
55081,0,0,1,0
55082,0,0,1,0
55092,0,0,1,0
55292,0,0,1,0
55314,0,0,1,0
55315,0,0,1,0
55367,0,0,1,0
55382,0,0,1,0
55396,0,0,1,0
55452,0,0,1,0
55474,0,0,1,0
55537,0,0,1,0
55587,0,0,1,0
55671,0,0,1,0
55764,0,0,1,0
55780,0,0,1,0
55822,0,0,3,0
55863,0,0,1,0
55874,0,0,1,0
55920,0,0,1,0
55945,0,0,1,0
55978,0,0,1,0
56056,0,0,1,0
56074,0,0,1,0
56122,0,0,1,0
56255,0,0,1,0
56270,0,0,1,0
56328,0,0,1,0
56377,0,0,1,0
56386,0,0,1,0
56420,0,0,1,0
56472,0,0,1,0
56573,0,0,1,0
56659,0,0,1,0
56687,0,0,1,0
56752,0,0,1,0
56768,0,0,1,0
56823,0,0,1,0
56851,0,0,1,0
56852,0,0,1,0
56873,0,0,1,0
56901,0,0,1,0
56989,0,0,1,0
57016,0,0,1,0
57027,0,0,1,0
57125,0,0,1,0
57167,0,0,1,0
57216,0,0,1,0
57302,0,0,1,0
57362,0,0,1,0
57403,0,0,1,0
57414,0,0,1,0
57422,0,0,1,0
57423,0,0,1,0
57431,0,0,1,0
57551,0,0,1,0
57576,0,0,1,0
57608,0,0,1,0
57707,0,0,1,0
57894,0,0,1,0
57916,0,0,1,0
57922,0,0,1,0
57980,0,0,1,0
57986,0,0,1,0
58035,0,0,1,0
58060,0,0,1,0
58063,0,0,1,0
58120,0,0,1,0
58122,0,0,1,0
58133,0,0,1,0
58184,0,0,1,0
58229,0,0,1,0
58266,0,0,1,0
58289,0,0,1,0
58322,0,0,1,0
58339,0,0,1,0
58365,0,0,1,0
58389,0,0,1,0
58545,0,0,1,0
58547,0,0,1,0
58577,0,0,1,0
58592,0,0,1,0
58595,0,0,1,0
58681,0,0,1,0
58725,0,0,1,0
58757,0,0,1,0
58811,0,0,1,0
58839,0,0,1,0
58907,0,0,1,0
58915,0,0,1,0
59017,0,0,1,0
59126,0,0,1,0
59157,0,0,1,0
59203,0,0,1,0
59206,0,0,1,0
59209,0,0,1,0
59222,0,0,1,0
59294,0,0,1,0
59295,0,0,1,0
59304,0,0,1,0
59335,0,0,1,0
59376,0,0,1,0
59545,0,0,1,0
59715,0,0,1,0
59727,0,0,1,0
59744,0,0,1,0
59788,0,0,1,0
59819,0,0,1,0
59891,0,0,1,0
59999,0,0,1,0
60024,0,0,1,0
60042,0,0,1,0
60113,0,0,1,0
60158,0,0,1,0
60174,0,0,1,0
60313,0,0,1,0
60317,0,0,1,0
60328,0,0,1,0
60357,0,0,0,1
60437,0,0,1,0
60456,0,0,1,0
60554,0,0,1,0
60671,0,0,2,0
60702,0,0,1,0
60736,0,0,1,0
60754,0,0,1,0
60771,0,0,1,0
60789,0,0,1,0
60834,0,0,1,0
60864,0,0,1,0
61079,0,0,1,0
61127,1,0,1,0
61280,0,0,1,0
61296,0,0,1,0
61335,0,0,1,0
61363,0,0,1,0
61432,0,0,1,0
61440,0,0,1,0
61454,0,0,1,0
61458,0,0,1,0
61498,0,0,1,0
61570,0,0,1,0
61593,0,0,1,0
61616,0,0,1,0
61675,0,0,1,0
61696,0,0,1,0
61795,0,0,1,0
61803,0,0,1,0
61830,0,0,1,0
61839,0,0,1,0
61888,0,0,1,0
61924,0,0,1,0
61947,0,0,1,0
61978,0,0,1,0
62098,1,0,1,0
62118,0,0,1,0
62121,0,0,1,0
62161,0,0,1,0
62169,0,0,1,0
62206,0,0,1,0
62235,0,0,1,0
62311,1,0,1,0
62313,0,0,1,0
62414,0,0,1,0
62436,0,0,1,0
62451,0,0,1,0
62464,0,0,1,0
62467,0,0,1,0
62477,0,0,1,0
62479,0,0,1,0
62480,0,0,1,0
62519,0,0,1,0
62528,0,0,1,0
62594,0,0,1,0
62674,0,0,1,0
62683,0,0,1,0
62708,0,0,1,0
62785,0,0,1,0
62843,0,0,1,0
62985,0,0,1,0
63029,0,0,1,0
63070,0,0,1,0
63113,0,0,1,0
63142,0,0,1,0
63195,0,0,1,0
63237,0,0,1,0
63267,0,0,1,0
63389,0,0,1,0
63435,0,0,1,0
63498,0,0,1,0
63503,0,0,1,0
63509,0,0,1,0
63527,0,0,1,0
63570,0,0,1,0
63585,0,0,1,0
63660,0,0,1,0
63794,0,0,1,0
63796,0,0,1,0
63810,0,0,1,0
63814,0,0,1,0
63864,0,0,1,0
63880,0,0,1,0
63884,0,0,1,0
63890,0,0,1,0
63914,0,0,1,0
63940,0,0,1,0
63951,0,0,1,0
63994,0,0,1,0
64026,0,0,1,0
64036,0,0,1,0
64055,0,0,1,0
64065,0,0,1,0
64080,0,0,1,0
64108,0,0,1,0
64118,0,0,1,0
64178,0,0,1,0
64210,0,0,1,0
64215,0,0,1,0
64222,0,0,1,0
64231,0,0,1,0
64239,0,0,1,0
64270,0,0,1,0
64463,0,0,1,0
64483,0,0,1,0
64511,0,0,1,0
64516,0,0,1,0
64555,0,0,1,0
64559,0,0,1,0
64560,0,0,1,0
64591,0,0,1,0
64619,0,0,1,0
64647,0,0,1,0
64723,0,0,1,0
64762,0,0,1,0
64794,0,0,1,0
64811,0,0,1,0
64894,0,0,1,0
64939,0,0,1,0
64996,0,0,1,0
65075,0,0,1,0
65332,0,0,1,0
65381,0,0,1,0
65405,0,0,1,0
65563,0,0,0,1
65571,0,0,1,0
65685,0,0,1,0
65749,0,0,1,0
65764,0,0,1,0
65780,0,0,1,0
65868,0,0,1,0
65893,0,0,1,0
65904,0,0,1,0
65966,0,0,1,0
65981,0,0,1,0
66026,0,0,1,0
66080,0,0,1,0
66086,0,0,1,0
66109,0,0,1,0
66115,0,0,1,0
66134,0,0,1,0
66151,0,0,1,0
66159,0,0,1,0
66192,0,0,1,0
66209,0,0,1,0
66235,0,0,1,0
66244,0,0,1,0
66311,0,0,1,0
66338,0,0,1,0
66365,0,0,1,0
66443,0,0,1,0
66474,0,0,1,0
66512,0,0,1,0
66570,0,0,1,0
66672,0,0,1,0
66693,0,0,1,0
66757,0,0,1,0
66769,0,0,1,0
66782,0,0,1,0
66833,0,0,1,0
66848,0,0,1,0
66923,0,0,1,0
66947,0,0,1,0
66949,0,0,1,0
66991,0,0,1,0
67041,0,0,1,0
67044,0,0,1,0
67110,0,0,1,0
67136,0,0,1,0
67193,0,0,1,0
67242,0,0,1,0
67260,0,0,1,0
67280,0,0,1,0
67289,0,0,1,0
67303,0,0,1,0
67355,0,0,1,0
67398,0,0,1,0
67433,0,0,1,0
67539,0,0,1,0
67612,0,0,1,0
67643,0,0,1,0
67715,0,0,1,0
67799,0,0,1,0
67834,0,0,1,0
67870,0,0,1,0
67877,0,0,1,0
67898,0,0,1,0
68041,0,0,1,0
68048,0,0,1,0
68136,0,0,1,0
68188,0,0,1,0
68212,0,0,1,0
68263,0,0,1,0
68292,0,0,1,0
68407,0,0,1,0
68425,0,0,1,0
68465,0,0,1,0
68590,0,0,1,0
68612,0,0,1,0
68719,0,0,1,0
68797,0,0,1,0
68823,0,0,1,0
68889,0,0,1,0
68940,0,0,1,0
68997,0,0,1,0
69101,0,0,1,0
69127,0,0,1,0
69209,0,0,1,0
69244,0,0,1,0
69299,0,0,1,0
69308,0,0,1,0
69373,0,0,1,0
69380,0,0,1,0
69479,0,0,1,0
69524,0,0,1,0
69608,0,0,1,0
69697,0,0,1,0
69762,0,0,1,0
69799,0,0,1,0
69804,0,0,1,0
69809,0,0,1,0
69875,0,0,1,0
69877,0,0,1,0
69917,0,0,1,0
69920,0,0,1,0
69982,0,0,1,0
70024,0,0,1,0
70027,0,0,1,0
70051,0,0,1,0
70055,0,0,1,0
70059,0,0,1,0
70129,0,0,1,0
70138,0,0,1,0
70187,0,0,1,0
70247,0,0,1,0
70268,0,0,1,0
70285,0,0,1,0
70350,0,0,1,0
70358,0,0,1,0
70376,0,0,1,0
70399,0,0,1,0
70408,0,0,1,0
70547,0,0,1,0
70586,0,0,1,0
70674,0,0,1,0
70701,0,0,1,0
70828,0,0,1,0
70832,0,0,1,0
70839,0,0,1,0
71013,0,0,1,0
71026,0,0,1,0
71044,0,0,1,0
71047,0,0,1,0
71051,0,0,1,0
71183,0,0,1,0
71235,0,0,1,0
71253,0,0,1,0
71275,0,0,1,0
71303,0,0,1,0
71312,0,0,1,0
71340,0,0,1,0
71350,0,0,1,0
71365,0,0,1,0
71402,0,0,1,0
71414,0,0,1,0
71439,0,0,1,0
71460,0,0,1,0
71468,0,0,1,0
71564,0,0,1,0
71579,0,0,1,0
71664,0,0,1,0
71691,0,0,1,0
71739,0,0,1,0
71764,0,0,1,0
71786,0,0,1,0
71804,0,0,1,0
71836,0,0,1,0
71871,0,0,1,0
71874,0,0,1,0
71898,0,0,1,0
