,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED
113672,0,0,1,0
113686,0,0,1,0
113688,0,0,1,0
113702,0,0,1,0
113705,0,0,1,0
113778,0,0,1,0
113828,0,0,1,0
113847,0,0,1,0
113883,0,0,1,0
113935,0,0,1,0
113942,0,0,1,0
113977,0,0,1,0
113987,0,0,1,0
114020,0,0,1,0
114036,0,0,1,0
114053,0,0,1,0
114114,0,0,1,0
114115,0,0,1,0
114165,0,0,1,0
114184,0,0,1,0
114240,0,0,1,0
114265,0,0,1,0
114267,0,0,1,0
114283,0,0,1,0
114286,0,0,1,0
114438,0,0,1,0
114454,0,0,1,0
114456,0,0,1,0
114459,0,0,1,0
114481,0,0,1,0
114498,0,0,1,0
114524,0,0,1,0
114578,0,0,1,0
114621,0,0,1,0
114640,0,0,1,0
114646,0,0,1,0
114647,0,0,1,0
114654,0,0,1,0
114765,0,0,1,0
114774,0,0,1,0
114778,0,0,1,0
114895,0,0,1,0
114926,0,0,1,0
115017,0,0,1,0
115027,0,0,1,0
115047,0,0,1,0
115056,0,0,1,0
115094,0,0,1,0
115133,0,0,1,0
115204,0,0,1,0
115210,0,0,1,0
115220,0,0,1,0
115234,0,0,1,0
115254,0,0,1,0
115267,0,0,2,0
115306,0,0,1,0
115309,0,0,1,0
115322,0,0,1,0
115384,0,0,1,0
115458,0,0,1,0
115474,0,0,1,0
115484,0,0,1,0
115487,0,0,1,0
115489,0,0,1,0
115614,0,0,1,0
115615,0,0,1,0
115620,0,0,1,0
115627,0,0,1,0
115648,0,0,1,0
115668,0,0,1,0
115747,0,0,1,0
115752,0,0,1,0
115781,0,0,1,0
115830,0,0,1,0
115841,0,0,1,0
115907,0,0,1,0
115954,0,0,1,0
115990,0,0,1,0
115992,0,0,1,0
116080,0,0,1,0
116159,0,0,1,0
116242,0,0,1,0
116251,0,0,1,0
116289,0,0,1,0
116290,0,0,1,0
116327,0,0,1,0
116329,0,0,1,0
116521,0,0,1,0
116553,0,0,1,0
116589,0,0,1,0
116613,0,0,1,0
116683,0,0,1,0
116723,0,0,1,0
116739,0,0,1,0
116797,0,0,1,0
116857,0,0,1,0
116878,0,0,1,0
116901,0,0,1,0
116902,0,0,1,0
116924,0,0,1,0
116933,0,0,1,0
116979,0,0,1,0
117064,0,0,1,0
117157,0,0,1,0
117294,0,0,1,0
117302,0,0,1,0
117387,0,0,1,0
117406,0,0,1,0
117466,0,0,1,0
117478,0,0,1,0
117582,0,0,1,0
117590,0,0,1,0
117591,0,0,1,0
117632,0,0,1,0
117647,0,0,1,0
117718,0,0,1,0
117762,0,0,1,0
117809,0,0,1,0
117817,0,0,1,0
117855,0,0,1,0
117954,0,0,1,0
117982,0,0,1,0
117993,0,0,1,0
118093,0,0,1,0
118095,0,0,1,0
118101,0,0,1,0
118207,1,0,1,0
118230,0,0,1,0
118292,0,0,1,0
118346,0,0,1,0
118393,0,0,1,0
118405,0,0,1,0
118447,0,0,1,0
118463,0,0,1,0
118506,0,0,1,0
118540,0,0,1,0
118542,0,0,1,0
118562,0,0,1,0
118565,0,0,1,0
118579,0,0,1,0
118603,0,0,1,0
118613,0,0,1,0
118631,0,0,1,0
118647,0,0,1,0
118691,0,0,1,0
118720,0,0,1,0
118733,0,0,1,0
118776,0,0,1,0
118780,0,0,1,0
118797,0,0,1,0
118843,0,0,1,0
118865,1,0,1,0
118938,0,0,1,0
118947,0,0,1,0
118954,0,0,1,0
118971,0,0,1,0
119020,0,0,1,0
119086,0,0,1,0
119094,0,0,1,0
119116,0,0,1,0
119148,0,0,1,0
119174,0,0,1,0
119176,0,0,1,0
119188,0,0,1,0
119206,0,0,1,0
119225,0,0,1,0
119418,0,0,1,0
119434,0,0,1,0
119560,0,0,1,0
119588,0,0,1,0
119642,0,0,1,0
119663,0,0,1,0
119726,0,0,1,0
119735,0,0,0,1
119768,0,0,1,0
119839,0,0,1,0
119847,0,0,1,0
119848,0,0,1,0
119882,0,0,1,0
119914,0,0,1,0
119933,0,0,0,1
120104,0,0,1,0
120132,0,0,1,0
120136,0,0,1,0
120228,0,0,1,0
120245,0,0,1,0
120252,0,0,1,0
120268,0,0,1,0
120307,0,0,1,0
120311,0,0,1,0
120317,0,0,1,0
120386,0,0,1,0
120392,0,0,1,0
120393,0,0,1,0
120399,0,0,1,0
120401,0,0,1,0
120446,0,0,1,0
120499,0,0,1,0
120522,0,0,1,0
120552,0,0,1,0
120566,0,0,1,0
120604,0,0,1,0
120635,0,0,1,0
120711,0,0,1,0
120731,0,0,1,0
120732,0,0,1,0
120744,0,0,1,0
120745,0,0,1,0
120778,0,0,1,0
120784,0,0,1,0
120802,0,0,1,0
120837,0,0,1,0
120873,0,0,1,0
120883,0,0,1,0
120931,0,0,1,0
120941,0,0,1,0
120988,0,0,1,0
121000,0,0,1,0
121018,0,0,1,0
121022,0,0,1,0
121041,0,0,1,0
121042,0,0,1,0
121086,0,0,1,0
121115,0,0,1,0
121178,0,0,1,0
121222,0,0,1,0
121278,0,0,1,0
121329,0,0,1,0
121387,0,0,1,0
121444,0,0,1,0
121511,0,0,1,0
121538,0,0,1,0
121550,0,0,1,0
121561,0,0,1,0
121566,0,0,1,0
121580,0,0,1,0
121603,0,0,1,0
121624,0,0,1,0
121635,0,0,1,0
121641,0,0,1,0
121665,0,0,1,0
121763,0,0,1,0
121794,0,0,1,0
121815,0,0,1,0
121908,0,0,1,0
121943,0,0,1,0
121983,0,0,1,0
121987,0,0,1,0
122027,0,0,1,0
122031,0,0,1,0
122034,0,0,1,0
122045,0,0,1,0
122082,0,0,1,0
122120,0,0,1,0
122151,0,0,1,0
122211,0,0,1,0
122220,0,0,1,0
122348,0,0,1,0
122354,0,0,1,0
122360,0,0,1,0
122367,0,0,1,0
122433,0,0,1,0
122469,0,0,1,0
122472,0,0,1,0
122495,0,0,1,0
122503,0,0,1,0
122525,0,0,1,0
122594,1,0,1,0
122607,0,0,1,0
122625,0,0,1,0
122684,0,0,1,0
122689,0,0,1,0
122695,0,0,1,0
122705,0,0,1,0
122765,0,0,1,0
122780,0,0,1,0
122896,0,0,1,0
122959,0,0,1,0
122991,0,0,1,0
123009,0,0,1,0
123013,0,0,1,0
123033,0,0,1,0
123045,0,0,1,0
123062,0,0,1,0
123065,0,0,1,0
123072,0,0,1,0
123094,0,0,1,0
123101,1,0,1,0
123102,0,0,1,0
123191,0,0,1,0
123223,0,0,1,0
123255,0,0,1,0
123297,0,0,1,0
123308,0,0,1,0
123319,0,0,1,0
123320,0,0,1,0
123326,0,0,1,0
123362,0,0,1,0
123373,0,0,1,0
123408,0,0,1,0
123478,0,0,1,0
123481,0,0,1,0
123493,0,0,0,1
123505,0,0,1,0
123517,0,0,1,0
123523,0,0,1,0
123712,0,0,1,0
123717,0,0,1,0
123766,0,0,1,0
123778,0,0,1,0
123822,0,0,1,0
123848,0,0,1,0
123867,0,0,1,0
123917,0,0,1,0
123983,0,0,1,0
124001,0,0,1,0
124006,0,0,1,0
124014,0,0,1,0
124062,0,0,1,0
124090,0,0,1,0
124097,0,0,1,0
124109,0,0,1,0
124123,0,0,1,0
124142,0,0,1,0
124151,0,0,1,0
124241,0,0,1,0
124242,0,0,1,0
124282,0,0,1,0
124319,0,0,1,0
124377,0,0,1,0
124386,0,0,1,0
124422,0,0,1,0
124442,0,0,1,0
124475,0,0,1,0
124481,0,0,1,0
124541,0,0,1,0
124629,0,0,1,0
124726,0,0,1,0
124758,0,0,1,0
124771,0,0,1,0
124778,0,0,1,0
124781,0,0,1,0
124826,0,0,1,0
124836,0,0,1,0
124838,0,0,1,0
124884,0,0,1,0
124892,0,0,1,0
125020,0,0,1,0
125033,0,0,1,0
125080,0,0,1,0
125118,0,0,1,0
125140,0,0,1,0
125148,0,0,1,0
125207,0,0,1,0
125218,0,0,1,0
125235,0,0,1,0
125280,0,0,1,0
125323,0,0,1,0
125331,0,0,1,0
125359,0,0,1,0
125407,0,0,1,0
125476,0,0,1,0
125504,0,0,1,0
125520,0,0,1,0
125645,0,0,1,0
125672,0,0,1,0
125746,0,0,1,0
125760,0,0,1,0
125766,0,0,1,0
125768,0,0,1,0
125773,0,0,1,0
125870,0,0,1,0
125873,0,0,1,0
125949,0,0,1,0
126074,0,0,1,0
126075,0,0,1,0
126115,0,0,1,0
126132,0,0,1,0
126208,0,0,1,0
126232,0,0,1,0
126254,0,0,1,0
126266,0,0,1,0
126279,0,0,1,0
126320,0,0,1,0
126387,0,0,1,0
126393,0,0,1,0
126396,0,0,1,0
126412,0,0,1,0
126453,0,0,1,0
126485,0,0,1,0
126574,0,0,1,0
126644,0,0,1,0
126648,0,0,1,0
126679,0,0,1,0
126741,0,0,1,0
126760,0,0,1,0
126784,0,0,1,0
126847,0,0,1,0
126848,0,0,1,0
126884,0,0,1,0
126907,0,0,1,0
126911,0,0,1,0
126921,0,0,1,0
126933,0,0,1,0
126958,0,0,2,0
126959,0,0,1,0
126975,0,0,1,0
126992,0,0,1,0
127033,0,0,1,0
127045,0,0,1,0
127081,0,0,1,0
127090,0,0,1,0
127094,0,0,1,0
127114,0,0,1,0
127123,0,0,1,0
127187,0,0,1,0
127200,0,0,1,0
127217,0,0,1,0
127221,0,0,1,0
127229,0,0,1,0
127246,0,0,1,0
127277,0,0,1,0
127278,0,0,1,0
127287,0,0,1,0
127362,0,0,1,0
127364,0,0,1,0
127396,1,0,1,0
127397,0,0,1,0
127413,0,0,1,0
127415,0,0,1,0
127432,0,0,1,0
127451,0,0,1,0
127456,0,0,1,0
127470,0,0,1,0
127494,0,0,1,0
127572,0,0,1,0
127574,0,0,1,0
127614,0,0,1,0
127631,0,0,1,0
127640,0,0,1,0
127655,0,0,1,0
127666,0,0,1,0
127690,0,0,1,0
127695,0,0,1,0
127709,0,0,1,0
127742,0,0,1,0
127756,0,0,1,0
127773,0,0,1,0
127795,0,0,2,0
127801,0,0,1,0
127865,1,0,1,0
127886,0,0,1,0
128017,0,0,1,0
128029,0,0,1,0
128092,0,0,1,0
128110,0,0,1,0
128157,0,0,1,0
128178,0,0,1,0
128213,0,0,1,0
128223,0,0,1,0
128237,0,0,1,0
128245,0,0,1,0
128292,0,0,1,0
128302,0,0,1,0
128318,0,0,1,0
128319,0,0,1,0
128338,0,0,1,0
128379,0,0,1,0
128444,0,0,1,0
128499,0,0,1,0
128519,0,0,1,0
128527,0,0,1,0
128598,0,0,1,0
128645,0,0,1,0
128681,0,0,1,0
128683,0,0,1,0
128687,0,0,1,0
128737,0,0,1,0
128767,0,0,2,0
128784,0,0,1,0
128860,0,0,1,0
128908,0,0,1,0
128909,0,0,1,0
128910,0,0,1,0
129017,0,0,1,0
129172,0,0,1,0
129255,0,0,1,0
129281,0,0,1,0
129311,0,0,1,0
129347,0,0,1,0
129382,0,0,1,0
129437,0,0,1,0
129469,0,0,1,0
129545,0,0,1,0
129554,0,0,1,0
129604,0,0,1,0
129631,0,0,1,0
129688,0,0,1,0
129708,0,0,1,0
129737,0,0,1,0
129760,0,0,1,0
129792,0,0,1,0
129811,0,0,1,0
129828,0,0,1,0
129843,0,0,1,0
129864,0,0,1,0
129895,0,0,1,0
129919,0,0,1,0
129960,0,0,1,0
130009,0,0,1,0
130014,0,0,1,0
130028,0,0,1,0
130101,0,0,1,0
130221,0,0,1,0
130282,0,0,1,0
130283,0,0,1,0
130356,0,0,1,0
130363,0,0,1,0
130384,0,0,1,0
130388,0,0,1,0
130634,0,0,1,0
130650,0,0,1,0
130681,0,0,1,0
130728,0,0,1,0
130745,0,0,1,0
130765,0,0,1,0
130790,0,0,1,0
130830,0,0,1,0
130838,0,0,1,0
130860,0,0,1,0
130927,0,0,1,0
130976,0,0,1,0
130994,0,0,2,0
131011,0,0,1,0
131014,0,0,1,0
131017,0,0,1,0
131050,0,0,0,1
131075,0,0,1,0
131103,0,0,1,0
131107,0,0,1,0
131108,0,0,1,0
131175,0,0,1,0
131343,0,0,1,0
131345,0,0,1,0
131355,0,0,1,0
131369,0,0,1,0
131375,0,0,1,0
131402,0,0,1,0
131409,0,0,1,0
131411,0,0,1,0
131448,0,0,1,0
131452,0,0,1,0
131500,0,0,1,0
131527,0,0,1,0
131547,0,0,1,0
131564,0,0,1,0
131612,0,0,1,0
131625,0,0,1,0
131632,0,0,1,0
131654,0,0,1,0
131685,0,0,1,0
131743,0,0,1,0
131830,0,0,1,0
131846,0,0,1,0
131897,0,0,1,0
131908,0,0,1,0
131913,0,0,1,0
132018,0,0,1,0
132058,0,0,1,0
132062,0,0,1,0
132077,0,0,1,0
132106,0,0,1,0
132108,0,0,1,0
132158,0,0,1,0
132159,0,0,1,0
132168,0,0,1,0
132198,0,0,1,0
132226,0,0,1,0
132266,0,0,1,0
132289,0,0,1,0
132291,0,0,1,0
132301,0,0,1,0
132322,0,0,1,0
132381,0,0,1,0
132388,0,0,1,0
132404,0,0,1,0
132441,0,0,1,0
132442,0,0,1,0
132459,0,0,1,0
132463,0,0,1,0
132510,0,0,1,0
132546,0,0,1,0
132549,0,0,1,0
132564,0,0,1,0
132578,0,0,1,0
132615,0,0,1,0
132649,0,0,1,0
132695,0,0,1,0
132714,0,0,1,0
132789,0,0,1,0
132794,0,0,1,0
132796,0,0,1,0
132805,0,0,1,0
132871,0,0,1,0
132887,0,0,1,0
132927,0,0,1,0
132970,0,0,1,0
133077,0,0,1,0
133155,0,0,1,0
133161,0,0,1,0
133163,0,0,1,0
133167,0,0,1,0
133173,0,0,1,0
133188,0,0,1,0
133273,0,0,2,0
133297,0,0,1,0
133299,0,0,1,0
133319,0,0,1,0
133342,0,0,1,0
133345,0,0,1,0
133350,0,0,1,0
133413,0,0,1,0
133439,0,0,1,0
133445,0,0,1,0
133450,0,0,1,0
133473,0,0,1,0
133479,0,0,1,0
133497,0,0,1,0
133502,0,0,1,0
133505,0,0,1,0
133562,0,0,1,0
133599,0,0,1,0
133611,0,0,1,0
133624,0,0,1,0
133658,0,0,1,0
133698,0,0,1,0
133721,0,0,1,0
133761,0,0,1,0
133777,1,0,1,0
133799,0,0,1,0
133856,0,0,1,0
133875,0,0,1,0
133883,0,0,1,0
133889,0,0,1,0
133903,0,0,1,0
133930,0,0,1,0
134006,0,0,1,0
134050,0,0,1,0
134062,0,0,1,0
134074,0,0,1,0
134113,0,0,1,0
134171,0,0,1,0
134205,0,0,1,0
134229,0,0,1,0
134277,0,0,1,0
134300,0,0,1,0
134373,0,0,1,0
134390,0,0,1,0
134420,0,0,1,0
134432,0,0,1,0
134440,0,0,1,0
134447,0,0,1,0
134473,0,0,1,0
134500,0,0,1,0
134519,0,0,1,0
134522,0,0,1,0
134563,0,0,1,0
134572,0,0,1,0
134590,0,0,1,0
134628,0,0,1,0
134713,0,0,1,0
134751,0,0,1,0
134785,0,0,1,0
134788,0,0,1,0
134808,0,0,1,0
134815,0,0,2,0
134921,0,0,1,0
134928,0,0,1,0
134967,0,0,1,0
135123,0,0,1,0
135137,0,0,1,0
135154,0,0,1,0
135186,0,0,1,0
135334,0,0,1,0
135350,0,0,1,0
135456,0,0,1,0
135594,0,0,1,0
135748,0,0,1,0
135771,0,0,1,0
135784,0,0,1,0
135807,0,0,1,0
135885,0,0,1,0
135890,0,0,1,0
135923,0,0,1,0
135935,0,0,1,0
135956,0,0,1,0
136083,0,0,1,0
136090,0,0,1,0
136123,0,0,1,0
136124,0,0,1,0
136133,0,0,1,0
136208,0,0,1,0
136209,0,0,1,0
136242,0,0,1,0
136282,0,0,1,0
136398,0,0,1,0
136413,0,0,1,0
136436,0,0,1,0
136601,0,0,1,0
136619,0,0,1,0
136627,0,0,1,0
136654,0,0,1,0
136700,0,0,1,0
136719,0,0,1,0
136779,0,0,1,0
136822,0,0,1,0
136845,0,0,1,0
136851,0,0,1,0
136925,0,0,1,0
136987,0,0,1,0
137003,0,0,1,0
137074,0,0,1,0
137103,0,0,1,0
137104,0,0,1,0
137159,0,0,1,0
137166,0,0,1,0
137178,0,0,1,0
137291,0,0,1,0
137307,0,0,1,0
137419,0,0,1,0
137449,0,0,1,0
137531,0,0,1,0
137533,0,0,1,0
137538,0,0,1,0
137652,0,0,1,0
137811,0,0,1,0
137841,0,0,1,0
137854,0,0,1,0
137867,0,0,1,0
137884,0,0,1,0
137916,0,0,1,0
137962,0,0,1,0
137964,0,0,1,0
137966,0,0,1,0
138007,0,0,1,0
138025,0,0,1,0
138075,0,0,1,0
138107,0,0,1,0
138113,0,0,1,0
138119,0,0,1,0
138122,0,0,1,0
138126,0,0,1,0
138146,0,0,1,0
138168,0,0,1,0
138201,0,0,1,0
138204,0,0,1,0
138234,0,0,1,0
138240,0,0,2,0
138265,0,0,1,0
138270,0,0,1,0
138287,0,0,1,0
138292,0,0,1,0
138333,0,0,1,0
138366,0,0,1,0
138430,0,0,1,0
138471,0,0,2,0
138474,0,0,1,0
138503,0,0,1,0
138510,0,0,1,0
138514,0,0,1,0
138556,0,0,1,0
138624,0,0,1,0
138625,0,0,1,0
138631,0,0,1,0
138714,0,0,1,0
138816,0,0,1,0
138976,0,0,1,0
139063,0,0,1,0
139105,0,0,1,0
139119,0,0,1,0
139179,0,0,1,0
139224,0,0,1,0
139231,0,0,1,0
139335,0,0,1,0
139365,0,0,1,0
139374,0,0,1,0
139387,0,0,1,0
139406,0,0,1,0
139424,0,0,1,0
139445,0,0,1,0
139538,0,0,1,0
139576,0,0,1,0
139658,0,0,1,0
139694,0,0,1,0
139697,0,0,1,0
139708,0,0,1,0
139738,0,0,1,0
139765,0,0,1,0
139789,0,0,1,0
139796,0,0,1,0
139799,0,0,1,0
139831,0,0,1,0
139891,0,0,1,0
140001,0,0,1,0
140010,0,0,1,0
140012,0,0,2,0
140065,0,0,1,0
140080,0,0,1,0
140095,0,0,1,0
140186,0,0,1,0
140223,0,0,1,0
140261,0,0,1,0
140351,0,0,1,0
140364,0,0,1,0
140381,0,0,1,0
140400,0,0,1,0
140416,0,0,1,0
140421,0,0,1,0
140438,0,0,1,0
140469,0,0,1,0
140504,0,0,1,0
140518,0,0,1,0
140553,0,0,1,0
140579,0,0,1,0
140701,0,0,1,0
140711,0,0,1,0
140734,0,0,1,0
140851,0,0,1,0
140880,0,0,1,0
140902,0,0,1,0
140911,0,0,1,0
140940,0,0,1,0
140962,0,0,1,0
140990,0,0,1,0
141000,0,0,1,0
141010,0,0,1,0
141051,0,0,1,0
141135,0,0,1,0
141137,0,0,1,0
141146,0,0,1,0
141159,0,0,1,0
141215,0,0,1,0
141253,0,0,1,0
141278,0,0,1,0
141368,0,0,1,0
141373,0,0,1,0
141406,0,0,1,0
141436,0,0,1,0
141499,0,0,1,0
141534,0,0,1,0
141641,0,0,1,0
141673,0,0,1,0
141681,0,0,1,0
141768,0,0,1,0
141821,0,0,1,0
141886,0,0,1,0
141890,0,0,1,0
141905,0,0,1,0
141960,0,0,1,0
142014,0,0,1,0
142050,0,0,1,0
142088,0,0,1,0
142109,0,0,1,0
142159,0,0,1,0
142195,0,0,1,0
142288,0,0,1,0
142302,0,0,1,0
142390,0,0,1,0
142394,0,0,1,0
142417,0,0,1,0
142448,0,0,1,0
142457,0,0,1,0
142501,0,0,1,0
142502,0,0,1,0
142509,0,0,1,0
142515,0,0,1,0
142522,0,0,1,0
142523,0,0,1,0
142527,0,0,1,0
142528,0,0,1,0
142539,0,0,1,0
142562,0,0,1,0
142566,0,0,1,0
142570,0,0,1,0
142578,0,0,1,0
142809,0,0,1,0
142819,0,0,1,0
142822,0,0,1,0
142834,0,0,1,0
142841,0,0,1,0
143003,0,0,1,0
143026,0,0,1,0
143070,0,0,1,0
143080,0,0,1,0
143091,0,0,0,1
143119,0,0,1,0
143219,0,0,1,0
143238,0,0,1,0
143322,0,0,1,0
143323,0,0,1,0
143389,0,0,1,0
143478,0,0,1,0
143530,0,0,1,0
143569,0,0,1,0
143583,0,0,1,0
143586,0,0,1,0
143604,0,0,1,0
143611,0,0,1,0
143662,0,0,1,0
143729,0,0,1,0
143763,0,0,1,0
143783,0,0,1,0
143914,0,0,1,0
143936,0,0,1,0
144006,0,0,1,0
144112,0,0,1,0
144113,0,0,1,0
144119,0,0,1,0
144242,0,0,1,0
144276,0,0,1,0
144277,0,0,1,0
144315,0,0,1,0
144354,0,0,1,0
144370,0,0,1,0
144374,0,0,1,0
144378,1,0,1,0
144398,0,0,1,0
144408,0,0,1,0
144426,0,0,1,0
144467,0,0,1,0
144506,0,0,1,0
144529,0,0,1,0
144559,0,0,1,0
144568,1,0,1,0
144584,0,0,1,0
144587,0,0,1,0
144625,0,0,1,0
144628,0,0,1,0
144653,0,0,1,0
144658,0,0,1,0
144678,0,0,1,0
144799,0,0,1,0
144818,0,0,1,0
144824,0,0,1,0
144914,0,0,1,0
144916,0,0,1,0
144919,0,0,1,0
144972,0,0,1,0
145011,0,0,1,0
145109,0,0,1,0
145118,0,0,1,0
145126,0,0,1,0
145151,0,0,1,0
145192,0,0,1,0
145210,0,0,1,0
145281,0,0,1,0
145284,0,0,1,0
145287,0,0,1,0
145328,0,0,1,0
145401,0,0,1,0
145443,0,0,1,0
145444,0,0,1,0
145472,0,0,1,0
145495,0,0,1,0
145531,0,0,1,0
145540,0,0,1,0
145580,0,0,1,0
145587,0,0,1,0
145682,0,0,1,0
145724,0,0,1,0
145745,0,0,1,0
145916,0,0,1,0
145919,0,0,1,0
145943,0,0,1,0
145954,0,0,1,0
145963,0,0,1,0
146017,0,0,1,0
146047,0,0,1,0
146060,0,0,1,0
146072,0,0,1,0
146172,0,0,1,0
146175,0,0,1,0
146200,0,0,2,0
146212,0,0,1,0
146223,0,0,1,0
146224,0,0,1,0
146242,0,0,1,0
146268,0,0,1,0
146305,0,0,1,0
146306,0,0,1,0
146313,0,0,1,0
146365,0,0,1,0
146452,0,0,1,0
146481,0,0,2,0
146495,0,0,1,0
146534,0,0,1,0
146541,0,0,1,0
146573,0,0,1,0
146635,0,0,1,0
146703,0,0,1,0
146710,0,0,1,0
146732,0,0,1,0
146736,0,0,1,0
146751,0,0,1,0
146912,0,0,1,0
146935,0,0,1,0
146936,0,0,1,0
147015,0,0,1,0
147019,0,0,1,0
147029,0,0,1,0
147061,0,0,1,0
147069,0,0,1,0
147088,0,0,1,0
147176,0,0,1,0
147207,0,0,1,0
147328,0,0,1,0
147351,0,0,1,0
147421,0,0,1,0
147481,0,0,1,0
147535,0,0,1,0
147538,0,0,1,0
147591,0,0,1,0
147598,0,0,1,0
147628,0,0,1,0
147650,0,0,1,0
147679,0,0,1,0
147684,0,0,1,0
147700,0,0,1,0
147716,0,0,1,0
147747,0,0,1,0
147856,0,0,1,0
147919,0,0,1,0
147937,0,0,1,0
147946,0,0,1,0
147955,0,0,1,0
148083,0,0,1,0
148089,0,0,1,0
148116,0,0,1,0
148173,0,0,1,0
148208,0,0,1,0
148263,0,0,1,0
148330,0,0,1,0
148337,0,0,1,0
148355,0,0,1,0
148367,0,0,1,0
148384,0,0,1,0
148385,0,0,1,0
148417,0,0,1,0
148423,0,0,1,0
148433,0,0,1,0
148491,0,0,1,0
148513,0,0,1,0
148593,0,0,1,0
148626,0,0,1,0
148636,0,0,1,0
148653,0,0,1,0
148655,0,0,1,0
148665,0,0,1,0
148680,0,0,1,0
148758,0,0,1,0
148793,0,0,1,0
148822,0,0,1,0
148894,0,0,1,0
148934,0,0,1,0
148938,0,0,1,0
148994,0,0,1,0
149061,0,0,1,0
149073,0,0,1,0
149105,0,0,1,0
149123,0,0,1,0
149228,0,0,1,0
149297,0,0,1,0
149312,0,0,1,0
149382,0,0,1,0
149405,0,0,1,0
149424,0,0,1,0
149564,0,0,1,0
149586,0,0,1,0
149682,0,0,1,0
149711,0,0,1,0
149771,0,0,1,0
149832,0,0,1,0
149842,0,0,1,0
149858,3,0,1,0
149866,0,0,1,0
149904,0,0,1,0
149956,0,0,1,0
149963,0,0,1,0
150001,0,0,1,0
150008,0,0,1,0
150043,0,0,1,0
150063,0,0,1,0
150111,0,0,1,0
150122,0,0,1,0
150161,0,0,1,0
150226,0,0,1,0
150280,0,0,1,0
150284,0,0,1,0
150288,0,0,1,0
150305,0,0,1,0
150350,0,0,1,0
150424,0,0,1,0
150477,0,0,1,0
